책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
파이썬 텍스트 마이닝 완벽 가이드,https://product.kyobobook.co.kr/detail/S000201057527,"박상언,강주영",2023-02-28,2023-10-29,jy****,구매자,4,"따라하기 쉽게 된 이론서입니다
",9791158394226,4.0
그림과 작동 원리로 쉽게 이해하는 서버의 기초,http://www.yes24.com/Product/Goods/118547452,키하시 마사히로 저/김모세 역,2023-04-26,2023-10-28,카*먼,구매,평점4점,"글과 그림으로 나눠서 읽기 편했고, 쉬운 주제와 설명으로 초보자가 읽기 좋았습니다.",9791158394240,4.0
프로가 되기 위한 타입스크립트 프로그래밍 입문,http://www.yes24.com/Product/Goods/117963966,스즈키 료타 저/진솔 역,2023-03-24,2023-10-27,달*,,평점5점,읽어본 타입스크립트 책중에는 타입시스템을 가장 잘 설명해주는 책이다,9791158394219,5.0
진짜 챗GPT 활용법,https://product.kyobobook.co.kr/detail/S000209663807,"김준성,브라이스 유,안상준",2023-10-18,2023-10-27,bo*****,,4,"개정판 이전 책도 가지고 있어서 개정판과 비교해 보니,
chatGPT4와 데이터 분석이 추가되었습니다.
와 이거 개정될만한 포인트구나 좀 감탄했어요! 너무 어렵지 않고, 쉽게 잘 넘어가요. 예제 하나하나에 너무 집중하지 않고 필요한 부분만 일부 따라 했습니다. 덕분에, chatGPT를 잘 활용할 수 있게 된 것 같아요.  ",9791158394721,4.0
문제 해결을 위한 알고리즘 with 수학,https://product.kyobobook.co.kr/detail/S000209208966,"요네다 마사타카,윤인성",2023-09-26,2023-10-27,kn***,구매자,4,"알고리즘을 수학적인 관점에서 공부하고 싶었는데, 정말 잘 어울리는 교재라 많은 도움이 됩니다. 추천합니다. ",9791158394653,4.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-10-27,aq******,구매자,4,읽기전이지만좋아보임,9791158394615,4.0
AWS 구조와 서비스,https://product.kyobobook.co.kr/detail/S000200882352,"우에노 후미아키,코바야시 쿄헤이,오자와 코스케,다카나시 토모유키,양현,김민호",2023-02-15,2023-10-27,aq******,구매자,4,읽기전이지만 좋아보입니다,9791158393977,4.0
파이브 라인스 오브 코드,https://product.kyobobook.co.kr/detail/S000200661796,"크리스찬 클라우젠,김성원",2023-01-19,2023-10-27,le********,구매자,1,"이 책을 추천하지 않습니다
번역이 불편하게 되어있어서 읽으면서 몇 번이나 화가 치밀어 올랐습니다
꾹 참고 계속 읽고 있는데 와 너무 화가 나네요
책 리뷰도 한번도 올린 적이 없는데 해도해도 너무해서 올립니다
번역 좀 제대로 좀 해주세요 예제도 잘 되어있고 좋은 책인데 진짜 번역이 망치네",9791158393915,1.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-10-25,h****6,,평점5점,챗GPT를 잘 써보기에 좋은 책 같네요!,9791158394288,5.0
챗GPT와 업무자동화,http://www.yes24.com/Product/Goods/117937260,김철수 저,2023-03-21,2023-10-25,b******2,,평점5점,챗GPT를 유용하게 써보고싶네요!,9791158394288,5.0
