책 제목,URL,저자/역자,발행일,작성일,작성자,구매,평점,리뷰,ISBN13,숫자평점
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=318380736,상냥한주디(김정훈),2023-06-13,2023-09-20,지니,구매,5점,"상냥한 주디쌤 미리캔버스 강추드려요!! 안녕하세요~상냥한 주디쌤의 미리캔버스 책보고 하나하나 따라해 보는데 사진과 설명을 정말 상세히 하나씩 다 짚어 주셔서  주디쌤의 이름다운 정말 상냥한 책입니다. 요즘은 정말 알아야할 디지털 도구들이 많은데 그 가운데 알아두면  많은 작업에 쉽게 사용할 수 있는 툴이 바로 미리캔버스 라는 것을 주디쌤 책을 만나고  알게 되었습니다. 목차에도 나와있지만 강의 자료를  보다 쉽게 만들수 있고, 블로그나 유튜브를 시작하시는 분들도 홈피형 블로그와 채널아트를 예쁘게 만들수 있고, 온라인 쇼핑몰 운... + 더보기",9791158394394,5.0
코어 쿠버네티스,http://www.yes24.com/Product/Goods/120763051,"제이 비아스, 크리스 러브 저",2023-07-28,2023-09-19,루*,,평점5점,처음 접하는 사람보다는 깊이 있는 공부를 원하는 분에게 추천합니다.,9791158393946,5.0
챗GPT와 글쓰기,http://www.yes24.com/Product/Goods/117603800,김철수 저,2023-02-28,2023-09-19,연*,구매,평점4점,알쓸신잡은 나영석 PD와 양정우 PD가 제작한 tvN의 예능 프로그램입니다.,9791158394233,4.0
UX 라이팅 교과서,https://product.kyobobook.co.kr/detail/S000208863707,"이춘희,이지현",2023-09-08,2023-09-19,da******,,4,"UX 라이터가 담당해야할 업무에 대해서 대해서 언어, 사용성, 브랜딩, 전환율, 일관성으로 설명되어있는 부분이 특히 인상깊었습니다.
UX 라이팅에 대해서 체계적으로 알지는 못했는데, 잘 분류해 서술해주시니 이해하기가 쉽고, 개념이 명료하게 잡혔습니다. 
이 책 한 권이면, UX 라이팅에 대해서는 잘 안다고 이야기할 수 있을 것 같다는 생각이 듭니다 ㅎㅎ

UX 디자이너분들이나, UX 디자이너를 꿈꾸는 분들이라면 꼭 읽어보시기를 추천드립니다.",9791158394554,4.0
실전! 컴퓨터비전을 위한 머신러닝,https://product.kyobobook.co.kr/detail/S000202999618,"발리아파 락슈마난,마틴 괴르너,라이언 길라드,최용",2023-07-18,2023-09-19,ro********,구매자,4,올컬러 내용도 정리하기에 좋음,9791158394417,4.0
UX 라이팅 교과서,http://www.yes24.com/Product/Goods/122167988,"이춘희, 이지현 저",2023-09-08,2023-09-18,b**y,,내용 평점5점  편집/디자인 평점5점,"UX 라이팅 공부를 어떻게 시작해야 하나 고민 많았는데, 기본 개념부터 꼼꼼하게 정리되어 있어 너무 유용했어요. 다양한 사례도 자세하게 나와있어 이해하기 편리했고, 나도 모르게 잘못 사용하고 있던 문구도 발견할 수 있었네요. ㅎㅎ 책을 읽는 요 근래 평소라면 무심코 지나쳤을 문구를 보며 ‘저 문장 뭔가 어색한데..?’ 하고 있었네요 ㅋㅋ 글의 영향력을 다... 더보기",9791158394554,5.0
코어 쿠버네티스,http://www.yes24.com/Product/Goods/120763051,"제이 비아스, 크리스 러브 저",2023-07-28,2023-09-18,s*****2,,평점5점,쿠버네티스를 이해하는데 도움이 되었습니다. 감사합니다.,9791158393946,5.0
일잘러의 노션 100% 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=300900143,제레미 강,2022-09-21,2023-09-17,달팽이엄마,구매,4점,"각종 템플릿 소개가 잘 되어 있다. 개인적으로 내게는 관계형 및 롤업 기능에 대한 설명이 유용했는데, 여러 사람이 함께 업무를 하는 상황에서라면 더 다양한 기능을 활용할 수 있지 않을까 싶었다.",9791158393687,4.0
UX 라이팅 교과서,https://product.kyobobook.co.kr/detail/S000208863707,"이춘희,이지현",2023-09-08,2023-09-17,rk*******,,4,"UX라이팅이란 무엇인가? 그게 뭔데? 그래서 어떻게 해야하는건데? 라는 질문에 모든 해답을 주는 진짜 UX라이팅 교과서네요. 저는 아직 학생이라, 이론만 설명하는 책들은 적용이 어렵고 지루한데 이 책은 사례위주로 잘 적혀있어서 좋아요. 한 챕터가 끝날때마다 핵심을 요약해주는 것도 뇌리에 박혀서 기억하기 쉽고, 무엇보다도 예시들이 위트있어요ㅎㅎ 보면서 피식 웃을 수 있는 전공 교재는 찾기 힘든데, 그런 점이 참 좋았어요. 그리고 주변에서 자주 보이는 다들 알법한 서비스들이 나와서 재미있었습니다. 서비스 만들 때 항상 손에 들고다니면서 참고하면 좋을 것 같네요! E-BOOK으로도 나오면 좋겠어요! ",9791158394554,4.0
MySQL 성능 최적화,http://www.yes24.com/Product/Goods/112622445,"실비아 보트로스, 제레미 틴리 저/류수미, 송희정 역",2022-09-22,2023-09-16,y*****n,,평점4점,번역이 진짜 발번역임 번역 하는 사람들 실력 검증 해야함 ㄹㅇ 원서로 보세요,9791158393656,4.0
스프링 프레임워크 첫걸음,http://www.yes24.com/Product/Goods/112607578,키노시타 마사아키 저/전민수 역,2022-09-21,2023-09-16,m********3,구매,평점5점,챌린지 하면서 공부하는데 좋아요,9791158393588,5.0
MySQL 성능 최적화,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=301180246,"실비아 보트로스,제레미 틴리,류수미,송희정,위키북스",2022-09-22,2023-09-16,던져보아요,구매,4점,번역이 ㄹㅇ 발번역임 CPU 사용량은 instrument 마다 다르다를 장비에 따라 다르다고 번역함진짜 기본적인 영어 읽기가 가능한지 궁금함 결국 원서로 읽는중,9791158393656,4.0
만들면서 배우는 나만의 인공지능 서비스,https://product.kyobobook.co.kr/detail/S000208796038,최은석,2023-09-06,2023-09-15,he****,구매자,3,자세한 설명이  좋아요,9791158394615,3.0
"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",https://product.kyobobook.co.kr/detail/S000202342916,"테지마 타쿠야,요시다 타케토,타카바야시 요시키,김모세",2023-05-30,2023-09-15,on********,구매자,4,"실전 예제를 중심으로 보여줘서 좋았습니다. 스토리북이나 테스트에 대해서도 다뤄줘서 더 좋았고요.
그사이 이미 버전이 올라가긴 했지만 도움이 될 것 같습니다.",9791158394332,4.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,http://www.yes24.com/Product/Goods/110708504,상냥한주디(김정훈) 저,2022-07-22,2023-09-13,왕*,구매,평점5점,좋아요,9791158393342,5.0
"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",https://product.kyobobook.co.kr/detail/S000202342916,"테지마 타쿠야,요시다 타케토,타카바야시 요시키,김모세",2023-05-30,2023-09-13,ho******,,4,너무 좋은 최신 책,9791158394332,4.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-09-12,a***s,구매,내용 평점5점  편집/디자인 평점5점,"챗봇 개발에 필요한 종합적인 지식을 제 공하는 유용한 책입니다 최근 IT 기업에 근무하면서 AI와 챗GPT에 관심이 많아졌는데 책이 많은 도움이 되었습니다 현업에서 근무하고 있는 사람은 물론 개발 지식이 다소 부족한 초보자에게도 굉장히 유용한 도서가 아닐까 생각됩니다 챗봇 서비스 개발 가이드를 쉽게 설명하고, 읽는 사람은 직접 실습해 볼 수 있어 재미있... 더보기",9791158394608,5.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,http://www.yes24.com/Product/Goods/119486522,상냥한주디(김정훈) 저,2023-06-13,2023-09-12,j********6,구매,내용 평점5점  편집/디자인 평점5점,옥외광고물 디자이너로 일하면서 항상 포토샵과 일러스트 등의 그래픽 프로그램만 사용할 생각만 하고 미리캔버스라는 디자인 플랫폼에 대해서는 잘 모르고 있었어요. '상냥한주디가 알려주는 N잡러를 위한 미리캔버스' 책을 통해 미리캔버스에 대해 알게되었고 이번에 개정판을 통해서 챗GPT 생성형 AI 를 활용한 동화책 만드는 방법까지 알 수 있었어요!'상냥한주... 더보기,9791158394394,5.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,http://www.yes24.com/Product/Goods/119486522,상냥한주디(김정훈) 저,2023-06-13,2023-09-12,j********6,구매,평점5점,미리캔버스를활용하는방법과 챗 GPT와생성형AI를 활용한 동화책만드는방법까지 알수있어요,9791158394394,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-09-11,K*********e,구매,내용 평점5점  편집/디자인 평점5점,"챗 GPT를 어떻게 더 효과적으로 사용할 수 있을까,, 단순하게 물어보는 것 말고, 내가 진행하는 업무들에 조금 더 직접적으로 활용하면 좋을 것 같은데,, 라는 고민을 하다가 알게 된 '코드 인터프리터'! 예전에는 도서를 구매하는 것이 조금 부담스러웠는데, 이제는 단순히 책을 한권 산다는 것이 아니라 저자가 이미 한발 앞서서 많은 시간 찾고, 정리하고,... 더보기",9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-09-11,K*********e,구매,평점5점,챗GPT를 더 효과적으로! 코드 인터프리터!!! 많이 기대됩니다,9791158394639,5.0
"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",http://www.yes24.com/Product/Goods/119121955,"테지마 타쿠야, 요시다 타케토, 타카바야시 요시키 저/김모세 역",2023-05-30,2023-09-10,책******책,구매,평점5점,타입스크립트에 대해 알 수 있는 좋은 책,9791158394332,5.0
상냥한주디가 알려주는 N잡러를 위한 미리캔버스,https://product.kyobobook.co.kr/detail/S000202623781,김정훈,2023-06-13,2023-09-09,ju*****,구매자,4,새로 리뉴얼 된 내용이 있어서 좋네요,9791158394394,4.0
엘라스틱서치 바이블,https://product.kyobobook.co.kr/detail/S000202720436,여동현,2023-06-29,2023-09-07,sh*****,구매자,4,좋습니다.좋습니다.,9791158394356,4.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-09-05,T**a,구매,내용 평점5점  편집/디자인 평점5점,"최근 챗 GPT를 사용하며 흥미를 느끼던 중에 이 책을 알게 되었습니다. 기초부터 구체적으로 사진과 함께 설명하여, 따라가지 못할까봐 미리 걱정할 필요가 없을 것 같습니다. 특히, ChatGPT에게 다양한 역할을 부여하였더니 답변을 거부하기도 하는 것이 재밌어서 기억에 남습니다. Chat GPT에 대한 지식을 쌓고 이를 활용하고자 한다면 이 책을 추천합니다. 이 책... 더보기",9791158394608,5.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-09-05,보*,구매,내용 평점5점  편집/디자인 평점5점,"문과에서 급 이과로 편입한 학생입니다.이제 막학기인데 챗gpt가 편입 직후부터 활성화되었다면 얼마나 좋았을까 싶을정도로 졸업작품 하는데 많은 영향을 받았어요챗gpt를 반대하시는 개발자 분들도 계시지만, 이 좋은 걸 안 쓸 이유가 없다고 생각하는 바 입니다. 이 책을 읽고 더욱 잘 활용하는 방법을 알고싶어서 구매했습니다. 그리고 실제로 잘 활용할 수 있을... 더보기",9791158394608,5.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-09-05,s*******2,구매,내용 평점5점  편집/디자인 평점5점,"컴퓨터학부에 재학하며 챗 GPT를 활용하는 경우가 많이 생겼습니다. 단지, 챗 GPT에게 여러 질문을 통해 학습시키는 방법으로 세세하게 타깃을 조절시켰습니다. 하지만, 이를 활용하여 프로그램을 제작할 수 없다는 점이 매우 아쉬웠습니다. '진짜 챗GPT API 활용법'의 자세한 설명 및 시각적 자료를 통해 API 기본 사용 방법을 학습하고, 이를 활용하여 챗봇을... 더보기",9791158394608,5.0
진짜 챗GPT API 활용법,http://www.yes24.com/Product/Goods/121773683,"김준성, 브라이스 유, 안상준 저",2023-08-23,2023-09-05,d*******6,,평점5점,자신만의 데이터로 자신만의 챗봇을 만들고 싶은 분들에게 강추합니다.,9791158394608,5.0
[eBook] 생활코딩 머신러닝 실습편 with 오렌지 3,http://www.yes24.com/Product/Goods/104661494,"이고잉, 이숙번, 오픈튜토리얼스 저",2021-10-26,2023-09-05,c*****7,구매,평점1점,용두사미. 초반에 잘 진행되다가 갑자기 끝나는 느낌이네요. 교재로서 양이 너무 적습니다.,9791158392826,1.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-09-05,po****,구매자,4,"서점에서 비슷한 종류의 여러 책을 비교해보고 고른 책이다. 
만약 당신이 다음에 해당한다면 이 책을 권한다. 

'제한된 업무 시간에 최대의 능률을 얻고 싶은 문과 출신의 직장인', 
'빅데이터로 무언가 하고 싶지만, 너무나 어려운 통계의 벽에 부딪혀 좌절한 자', 
'대신 커피값을 아껴 한달에 20불을 투자해서 스스로 남들 다한다는 데이터 분석 나도 함 해보고 싶은 평범한 직장인', 
'파이썬 코드를 몰라도 데이터 분석할 수 있다는 용맹스런 자신감에 차 있는 자', 
'남들보다 업무를 더 잘 하고 싶은 욕심쟁이 직장인' 
만약 이들 중 하나에 해당한다면 사라.... 
이 책은 문과생들에게 소위 빅데이터 분석을 '날로 먹는' 법을 알려준다. 

빅데이터 분석을 하고 싶은 욕심 가득히 매달 챗GPT 플러스 구독료 20불이 아깝지 않은 문과생이라면, 충분히 권할 만 하다.    ",9791158394639,4.0
진짜 챗GPT API 활용법,https://product.kyobobook.co.kr/detail/S000208506795,"김준성,유원준,안상준",2023-08-23,2023-09-05,ma********,구매자,4,"직접 내 손으로 인공지능 챗봇 서비스, 음성비서를 만들어 보고 싶은 생각이 있다면 추천합니다! Chat GPT를 활용한 데이터 전처리부터, 서버생성, AWS를 활용한 메신저 챗봇까지 친절한 설명으로 누구나 따라가기만 하면 혼자서도 원하는 서비스를 구현할 수 있게 도와줍니다.",9791158394608,4.0
그림과 작동 원리로 쉽게 이해하는 서버의 기초,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=315442803,"키하시 마사히로,김모세",2023-04-26,2023-09-04,Behappy,구매,5점,추천합니다 만족합니다 도움이 됩니다,9791158394240,5.0
진짜 챗GPT 활용법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=313148104,"김준성,유원준,안상준",2023-03-21,2023-09-04,Behappy,구매,5점,추천합니다 만족합니다 도움이 됩니다,9791158394264,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-09-04,so***,,4,챗gpt로 분석이 된다는 내용을 듣기는 했지만 이렇게 구체적이고 실용적으로 쓸 수 있을 줄은 몰랐습니다. 책의 소개 내용을 보니 분석 지식이나 코드를 기본적인 수준만 알아도 챗gpt를 통해 다양한 전처리나 분석을 수행할 수 있다는 생각이 들어 꼭 읽어보고 싶고 매우 기대가 됩니다!,9791158394639,4.0
진짜 챗GPT API 활용법,https://product.kyobobook.co.kr/detail/S000208506795,"김준성,유원준,안상준",2023-08-23,2023-09-04,ba******,구매자,4,AI Chat bot에 관심이 있으시고 프로그래밍을 배우기 시작하신 분들께 추천하는 책입니다! Chat GPT가 최근 이슈화되며 많은 관심을 받았고 저도 Chat GPT를 이용해 프로그램을 만들어보고 싶다고 막연히 생각했지만 방법을 이해하기 쉽게 간단히 알려주는 곳이 없어 막막했는데 이 책에서 자세하면서도 처음 하는 사람들이 이해하기 쉽게 쓰여있어서 많이 도움이 됐습니다!! GPT API를 처음 사용해서 프로그래밍 하시는 분들한테는 많은 도움이 될 것 같습니다! 그래도 이 책 읽으시기 전에 파이썬에 대해 간단히 공부하신 후에 읽으시면서 진행하면 더 수월하게 할 수 있을 것 같아요!!,9791158394608,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-09-03,wn********,,4,챗GPT의 등장으로 기업의 생성형 AI 모델이 등장하게 시작하였습니다. 이제는 프롬프트에서 어떻게 질문하느냐에 따라 활용가치가 달라질것입니다. 이 책에는 우리 일상의 업무를 챗GPT로 효율화 할 수 있는 예시가 있어 큰 도움이 될것이라고 생각합니다. 어떻게 질문할 것인지 생각해볼 수 있어 빨리 읽어보고 싶습니다!,9791158394639,4.0
그림과 작동 원리로 쉽게 이해하는 AWS 구조와 서비스,http://www.yes24.com/Product/Goods/117291443,"우에노 후미아키, 코바야시 쿄헤이, 오자와 코스케, 다카나시 토모유키 저/양현 역 외 1명",2023-02-15,2023-09-02,3****n,구매,평점5점,AWS 서비스에 대해 전체적인 개념을 파악하는데 도움이 되었습니다.,9791158393977,5.0
인스타그램 브랜딩 레시피,http://www.yes24.com/Product/Goods/105892670,김정은 저,2022-01-12,2023-09-02,l******7,,평점5점,단순 나열식의 책은 아닙니다. 인스타 브랜딩을 해야하는 이유부터 차근히 잘 설명해줍니다.,9791158392956,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-09-02,altks011,구매,5점,chatgpt를 통해 비정형데이터까지 가공과 결과물이 나온다는게 흥미롭습니다. 계속 업데이트가 되면서 업무에 적용시킨다면 시간을 정말 많이 단축시킬 수 있을 거 같습니다. 책보고 열심히 공부해보겠습니다!,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-09-01,n*******k,구매,내용 평점5점  편집/디자인 평점5점,사실 여러 업무를 보면서 노가다로 일해 온 시간들이 많았는데 챗GPT를 통해서 이렇게 정리가 가능한 시대가 오다니 정말 신기하고 덕분에 편리해지는 기분입니다 특히나 엑셀 파일 정리나 데이터 차트 지도 그리는 등 데이터들을 정리하고 시작화 하는 방법들도 이미지로 자세히 나와있어서 너무 보기 쉽게 되어있어서 좋아요!이제 정말 AI와 함께 일하는 시대가 온... 더보기,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-09-01,a****t,구매,평점5점,데이터분석가로의 직무변경을 희망하는데 AI 챗GPT를 활용한 분석이 너무 기대됩니다!,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-09-01,써*,,평점5점,정말 도움이 많이 될 것 같아 기대됩니다.,9791158394639,5.0
그림과 작동 원리로 쉽게 이해하는 AWS 구조와 서비스,http://www.yes24.com/Product/Goods/117291443,"우에노 후미아키, 코바야시 쿄헤이, 오자와 코스케, 다카나시 토모유키 저/양현 역 외 1명",2023-02-15,2023-09-01,정*리,,평점5점,간결하고 설명이 잘되어있어서 너무 좋습니다. ebook으로 나왔으면 좋겠습니다.,9791158393977,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-08-31,x****s,,평점5점,데이터분석을 챗GPT를 사용해서 쉽게 할 수있다는 것이 매우 놀랍습니다.,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-08-31,선**재,,평점5점,현재 데이터 분석을 다루는 석사생입니다. 프로젝트를 하는 데 엄청 도움될 것 같아요! 기대,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-08-31,yso0716,구매,5점,"ChatGPT4 4개월째 유료결제한 사람으로서, 최근 Hot한 코드 인터프리터가 너무 궁금했는데요  이렇게 책으로 내주셔서 감사할 따름입니다. 책 읽고 열심히 이용해보겠습니다",9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-31,pc***************,,4,"챗GPT가 대중적인 문제해결 수단이 된 만큼, 개발자에게 있어서 굉장히 중요한 인공지능모델이 되었습니다. 하지만 많은 학생들이 본질적으로 개발관련해서는 아직 어려움을 겪고 있는 것 같다고 생각합니다.  이 서적은 이러한 문제에 대한 방향성을 확립해줄 수 있을거라 생각돼 기대가 됩니다. 개인적으로 비정형 데이터를 다루는 파트를 어떻게 기술했을지 궁금하네요!",9791158394639,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-31,2k****,,4,데이터 과학자를 꿈꾸고 있는 한 대학생입니다 ! 데이터를 다루면서 챗지피티를 종종 사용하곤 했지만 어떻다 하는 배움의 길이 없어서 항상 원하는 답을 얻어내기가 어려웠습니다. 저는 이 책이 그 길을 터줄 것 같다고 믿어 의심치 않습니다. 다양한 예제를 풀어보며 직접 활용해보고 더 성장할 수 있는 기회가 될 것 같아 정말 기대가 되는 책입니다. ,9791158394639,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-31,ao*****,,4,오!챗GPT 를 어떻게 써야 하는지 몰라서 들어가서 이말 저말 처보기만 했는데 목차를 보니 정말 다양한 영역에서 활용할 수 있을 것 같아요.  정말 챗GPT를 활용의 가능성은 정말 무궁무진한 것 같습니다.   공부하고 업무에 적용해 보면 정말 시간을 많이 절약할 수 있지 않을까 기대가 됩니다!!!! ,9791158394639,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-31,it******,,4,"데이터 분석이 중요해지는 시기, 생성형 AI를 통해 코딩의 장벽을 넘어 누구나 데이터 분석을 할 수 있는 방법이 기대됩니다. 엑셀과 파이썬이 요구하는 프로그래밍 언어의 스킬을 ChatGPT가 어떻게 대체해 주는지 궁금하네요.",9791158394639,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-08-30,a*****9,,내용 평점5점  편집/디자인 평점5점,"챗gpt로 데이터분석을 쉽게 할 수 있다니 놀랍습니다. 업무에서도 엑셀활용, 데이터 시각화 등 잘 활용할 수 있을 것 같아 기대가 됩니다. 책이 쉽게 잘써있음요직장인이나 예비 데이터분석가들에게 유용한 도서입니다. 조금 과장하자면 이걸 사용하지않는 사람이 바보일정도로..유용합니다. 주변사람들에게도 추천했어요 감사합니다 챗gpt로 데이터분석을 쉽게 할... 더보기",9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-08-30,레드안개,구매,5점,요새 이슈가 되고 있는 ChatGPT를 어떻게 활용할 수 있는지 궁금해지는 책이네요. 그리고 책소개를 보니 이 책이 저같은 타전공자들에게는 도움이 크게 될 것 같다는 생각이 듭니다. 한번 읽어볼 수 있는 기회가 주어진다면 정말 좋겠습니다.,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=322824842,김철수,2023-08-25,2023-08-30,kz95161,구매,5점,일단 요즘 모든 챗gpt 활용하여 파이썬 코드를 받아서 종종 데이터 분석을 하고있습니니다.이책은 챗 gpt을 통해 정형데이터와 비정형데이터를 다룰 수 있다는점이 무척 흥미롭게 느껴집니다.그리고 저에게 인터프리터라는 개념이 아직 없는데 이책을 통해 앞으로 해야될 업무에 도움을 받고 싶어요,9791158394639,5.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-30,ma*****,,4,"요즘 대세는 데이터 분석, 데이터 리터러시라고 하는데 그놈의 코딩 때문에 접근 장벽이 너무나 높게 느껴졌었어요. 그런데 챗GPT의 코드 인터프리터를 활용하면 복잡한 코드를 몰라도 챗GPT가 도와준다니 너무나 기대됩니다!
그런데 가장 중요한건 어떻게 코드인터프리터를 활용할 수 있을지에 대한 노하우겠죠? 자연어 처리를 오랫동안 연구하신데다 현업 데이터리터러시 강사이신 저자가 검증된 출판사 위키북스의 AI 시리즈로 출판했다는데 그 신뢰성이 더해지는 것 같습니다.
저자, 출판사, 그리고 가장 핫한 내용. 내 데이터 문해력 뿐 아니라 데이터 실력 자체를 근본적으로 업그레이드 시킬 좋은 책입니다!",9791158394639,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,https://product.kyobobook.co.kr/detail/S000208577519,김철수,2023-08-25,2023-08-30,su****,,4,"데이터 분석에 전문가가 되기 위해 수많은 시간을 쏟았지만, 코드 인터프리터가 나온 이후로 패러다임이 완전히 변화할 것을 직감했습니다. 이 변화의 최전선에서 이 책의 도움을 받아 더 나아갈 수 있기를 기대합니다.",9791158394639,4.0
진짜 챗GPT 활용법,http://www.yes24.com/Product/Goods/117936860,"김준성, 유원준, 안상준 저",2023-03-21,2023-08-29,연*,구매,내용 평점5점  편집/디자인 평점5점,위키북수 출판사에서 나온진짜 챗GPT 활용법 을 읽고 작성하는 리뷰입니다~~~ 챗GPT 활용을 해보고 싶어서 구입했어요~~~ 아이도 가르쳐 주고 싶어서 제가 먼저 공부해보려고 구입했는데 초보자도 쉽게 알수 있게 설명해 주셔서 흥미 진진하게 오랫만에 공부하고 있습니다~~~진짜 챗GPT 활용법을 배우면서 제가 너무 뒤쳐저 있었구나라는 생각도 들었고 오랫만에 공... 더보기,9791158394264,5.0
진짜 챗GPT 활용법,http://www.yes24.com/Product/Goods/117936860,"김준성, 유원준, 안상준 저",2023-03-21,2023-08-29,연*,구매,평점5점,잘보았습니다.,9791158394264,5.0
챗GPT와 글쓰기,https://product.kyobobook.co.kr/detail/S000201060847,김철수,2023-03-03,2023-08-29,jm***,구매자,4,관심 분야라 주문했는데 이해하기 쉽고 많은 도움되었습니다,9791158394233,4.0
챗GPT와 데이터 분석 with 코드 인터프리터,http://www.yes24.com/Product/Goods/121798780,김철수 저,2023-08-25,2023-08-28,a****5,구매,내용 평점4점  편집/디자인 평점4점,"챗GPT 코드 인터프리터로 데이터 분석은기대한 바 대로유익했다. 사실 코드 인터프리터가 공개된 후 아마존 도서를 5-6권읽었던 경험 덕에, 이 책도 빠르게 읽어낼 수 있었다. 이번 책은 주로 데이터 분석에 초점을 둔 내용이고, 실제 예시를 통해 설명이 되어 있다. 저자는 영어학원 데이터부터 기상청 데이터까지, 상당히 다양한 분야의 데이터를 사용해 코드 인... 더보기",9791158394639,4.0
그림과 작동 원리로 쉽게 이해하는 AWS 구조와 서비스,http://www.yes24.com/Product/Goods/117291443,"우에노 후미아키, 코바야시 쿄헤이, 오자와 코스케, 다카나시 토모유키 저/양현 역 외 1명",2023-02-15,2023-08-25,h****a,구매,평점5점,간략하지만 핵심을 놓치지 않고 알기쉽고 간결하게 설명하는 구성이 돋보입니다,9791158393977,5.0
"타입스크립트, 리액트, Next.js로 배우는 실전 웹 애플리케이션 개발",https://product.kyobobook.co.kr/detail/S000202342916,"테지마 타쿠야,요시다 타케토,타카바야시 요시키,김모세",2023-05-30,2023-08-25,kb********,구매자,4,너무 재미있어요!!!,9791158394332,4.0
24단계 실습으로 정복하는 쿠버네티스,http://www.yes24.com/Product/Goods/115187666,이정훈 저,2022-11-10,2023-08-24,a******e,,평점5점,실무자가 보기에 딱 좋은 내용입니다. (처음 접하는 분은 개념서부터 보는 것을 추천~~~),9791158393717,5.0
이지패스 2023 ADsP 데이터분석 준전문가 (수험서 앱 제공),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=308397625,"전용문,박현민",2023-01-16,2023-08-23,linuxist,구매,5점,"여러책 중에 유트브강의와 연계되어 있고, 교재도 내용이 충실한점이 좋은거 같습니다.^^",9791158394059,5.0
